%A[2:0,0]<2:7,7>	%A[2:0,1]	%A[2:0,2]	%A[2:0,3]	%A[2:0,4]	%A[2:0,5]	%A[2:0,6]	%A[2:1,0]	%A[2:1,1]	%A[2:1,2]	%A[2:1,3]	%A[2:1,4]	%A[2:1,5]	%A[2:1,6]	%A[2:2,0]	%A[2:2,1]	%A[2:2,2]	%A[2:2,3]	%A[2:2,4]	%A[2:2,5]	%A[2:2,6]	%A[2:3,0]	%A[2:3,1]	%A[2:3,2]	%A[2:3,3]	%A[2:3,4]	%A[2:3,5]	%A[2:3,6]	%A[2:4,0]	%A[2:4,1]	%A[2:4,2]	%A[2:4,3]	%A[2:4,4]	%A[2:4,5]	%A[2:4,6]	%A[2:5,0]	%A[2:5,1]	%A[2:5,2]	%A[2:5,3]	%A[2:5,4]	%A[2:5,5]	%A[2:5,6]	%A[2:6,0]	%A[2:6,1]	%A[2:6,2]	%A[2:6,3]	%A[2:6,4]	%A[2:6,5]	%A[2:6,6]	%B[2:0,0]<2:7,7>	%B[2:0,1]	%B[2:0,2]	%B[2:0,3]	%B[2:0,4]	%B[2:0,5]	%B[2:0,6]	%B[2:1,0]	%B[2:1,1]	%B[2:1,2]	%B[2:1,3]	%B[2:1,4]	%B[2:1,5]	%B[2:1,6]	%B[2:2,0]	%B[2:2,1]	%B[2:2,2]	%B[2:2,3]	%B[2:2,4]	%B[2:2,5]	%B[2:2,6]	%B[2:3,0]	%B[2:3,1]	%B[2:3,2]	%B[2:3,3]	%B[2:3,4]	%B[2:3,5]	%B[2:3,6]	%B[2:4,0]	%B[2:4,1]	%B[2:4,2]	%B[2:4,3]	%B[2:4,4]	%B[2:4,5]	%B[2:4,6]	%B[2:5,0]	%B[2:5,1]	%B[2:5,2]	%B[2:5,3]	%B[2:5,4]	%B[2:5,5]	%B[2:5,6]	%B[2:6,0]	%B[2:6,1]	%B[2:6,2]	%B[2:6,3]	%B[2:6,4]	%B[2:6,5]	%B[2:6,6]	%C[2:0,0]<2:7,7>	%C[2:0,1]	%C[2:0,2]	%C[2:0,3]	%C[2:0,4]	%C[2:0,5]	%C[2:0,6]	%C[2:1,0]	%C[2:1,1]	%C[2:1,2]	%C[2:1,3]	%C[2:1,4]	%C[2:1,5]	%C[2:1,6]	%C[2:2,0]	%C[2:2,1]	%C[2:2,2]	%C[2:2,3]	%C[2:2,4]	%C[2:2,5]	%C[2:2,6]	%C[2:3,0]	%C[2:3,1]	%C[2:3,2]	%C[2:3,3]	%C[2:3,4]	%C[2:3,5]	%C[2:3,6]	%C[2:4,0]	%C[2:4,1]	%C[2:4,2]	%C[2:4,3]	%C[2:4,4]	%C[2:4,5]	%C[2:4,6]	%C[2:5,0]	%C[2:5,1]	%C[2:5,2]	%C[2:5,3]	%C[2:5,4]	%C[2:5,5]	%C[2:5,6]	%C[2:6,0]	%C[2:6,1]	%C[2:6,2]	%C[2:6,3]	%C[2:6,4]	%C[2:6,5]	%C[2:6,6]	%lA[2:0,0]<2:7,7>	%lA[2:0,1]	%lA[2:0,2]	%lA[2:0,3]	%lA[2:0,4]	%lA[2:0,5]	%lA[2:0,6]	%lA[2:1,0]	%lA[2:1,1]	%lA[2:1,2]	%lA[2:1,3]	%lA[2:1,4]	%lA[2:1,5]	%lA[2:1,6]	%lA[2:2,0]	%lA[2:2,1]	%lA[2:2,2]	%lA[2:2,3]	%lA[2:2,4]	%lA[2:2,5]	%lA[2:2,6]	%lA[2:3,0]	%lA[2:3,1]	%lA[2:3,2]	%lA[2:3,3]	%lA[2:3,4]	%lA[2:3,5]	%lA[2:3,6]	%lA[2:4,0]	%lA[2:4,1]	%lA[2:4,2]	%lA[2:4,3]	%lA[2:4,4]	%lA[2:4,5]	%lA[2:4,6]	%lA[2:5,0]	%lA[2:5,1]	%lA[2:5,2]	%lA[2:5,3]	%lA[2:5,4]	%lA[2:5,5]	%lA[2:5,6]	%lA[2:6,0]	%lA[2:6,1]	%lA[2:6,2]	%lA[2:6,3]	%lA[2:6,4]	%lA[2:6,5]	%lA[2:6,6]	%lB[2:0,0]<2:7,7>	%lB[2:0,1]	%lB[2:0,2]	%lB[2:0,3]	%lB[2:0,4]	%lB[2:0,5]	%lB[2:0,6]	%lB[2:1,0]	%lB[2:1,1]	%lB[2:1,2]	%lB[2:1,3]	%lB[2:1,4]	%lB[2:1,5]	%lB[2:1,6]	%lB[2:2,0]	%lB[2:2,1]	%lB[2:2,2]	%lB[2:2,3]	%lB[2:2,4]	%lB[2:2,5]	%lB[2:2,6]	%lB[2:3,0]	%lB[2:3,1]	%lB[2:3,2]	%lB[2:3,3]	%lB[2:3,4]	%lB[2:3,5]	%lB[2:3,6]	%lB[2:4,0]	%lB[2:4,1]	%lB[2:4,2]	%lB[2:4,3]	%lB[2:4,4]	%lB[2:4,5]	%lB[2:4,6]	%lB[2:5,0]	%lB[2:5,1]	%lB[2:5,2]	%lB[2:5,3]	%lB[2:5,4]	%lB[2:5,5]	%lB[2:5,6]	%lB[2:6,0]	%lB[2:6,1]	%lB[2:6,2]	%lB[2:6,3]	%lB[2:6,4]	%lB[2:6,5]	%lB[2:6,6]	%ctxt1[2:0,0]<2:7,7>	%ctxt1[2:0,1]	%ctxt1[2:0,2]	%ctxt1[2:0,3]	%ctxt1[2:0,4]	%ctxt1[2:0,5]	%ctxt1[2:0,6]	%ctxt1[2:1,0]	%ctxt1[2:1,1]	%ctxt1[2:1,2]	%ctxt1[2:1,3]	%ctxt1[2:1,4]	%ctxt1[2:1,5]	%ctxt1[2:1,6]	%ctxt1[2:2,0]	%ctxt1[2:2,1]	%ctxt1[2:2,2]	%ctxt1[2:2,3]	%ctxt1[2:2,4]	%ctxt1[2:2,5]	%ctxt1[2:2,6]	%ctxt1[2:3,0]	%ctxt1[2:3,1]	%ctxt1[2:3,2]	%ctxt1[2:3,3]	%ctxt1[2:3,4]	%ctxt1[2:3,5]	%ctxt1[2:3,6]	%ctxt1[2:4,0]	%ctxt1[2:4,1]	%ctxt1[2:4,2]	%ctxt1[2:4,3]	%ctxt1[2:4,4]	%ctxt1[2:4,5]	%ctxt1[2:4,6]	%ctxt1[2:5,0]	%ctxt1[2:5,1]	%ctxt1[2:5,2]	%ctxt1[2:5,3]	%ctxt1[2:5,4]	%ctxt1[2:5,5]	%ctxt1[2:5,6]	%ctxt1[2:6,0]	%ctxt1[2:6,1]	%ctxt1[2:6,2]	%ctxt1[2:6,3]	%ctxt1[2:6,4]	%ctxt1[2:6,5]	%ctxt1[2:6,6]	%ctxt2[2:0,0]<2:7,7>	%ctxt2[2:0,1]	%ctxt2[2:0,2]	%ctxt2[2:0,3]	%ctxt2[2:0,4]	%ctxt2[2:0,5]	%ctxt2[2:0,6]	%ctxt2[2:1,0]	%ctxt2[2:1,1]	%ctxt2[2:1,2]	%ctxt2[2:1,3]	%ctxt2[2:1,4]	%ctxt2[2:1,5]	%ctxt2[2:1,6]	%ctxt2[2:2,0]	%ctxt2[2:2,1]	%ctxt2[2:2,2]	%ctxt2[2:2,3]	%ctxt2[2:2,4]	%ctxt2[2:2,5]	%ctxt2[2:2,6]	%ctxt2[2:3,0]	%ctxt2[2:3,1]	%ctxt2[2:3,2]	%ctxt2[2:3,3]	%ctxt2[2:3,4]	%ctxt2[2:3,5]	%ctxt2[2:3,6]	%ctxt2[2:4,0]	%ctxt2[2:4,1]	%ctxt2[2:4,2]	%ctxt2[2:4,3]	%ctxt2[2:4,4]	%ctxt2[2:4,5]	%ctxt2[2:4,6]	%ctxt2[2:5,0]	%ctxt2[2:5,1]	%ctxt2[2:5,2]	%ctxt2[2:5,3]	%ctxt2[2:5,4]	%ctxt2[2:5,5]	%ctxt2[2:5,6]	%ctxt2[2:6,0]	%ctxt2[2:6,1]	%ctxt2[2:6,2]	%ctxt2[2:6,3]	%ctxt2[2:6,4]	%ctxt2[2:6,5]	%ctxt2[2:6,6]	%ctxt3[2:0,0]<2:7,7>	%ctxt3[2:0,1]	%ctxt3[2:0,2]	%ctxt3[2:0,3]	%ctxt3[2:0,4]	%ctxt3[2:0,5]	%ctxt3[2:0,6]	%ctxt3[2:1,0]	%ctxt3[2:1,1]	%ctxt3[2:1,2]	%ctxt3[2:1,3]	%ctxt3[2:1,4]	%ctxt3[2:1,5]	%ctxt3[2:1,6]	%ctxt3[2:2,0]	%ctxt3[2:2,1]	%ctxt3[2:2,2]	%ctxt3[2:2,3]	%ctxt3[2:2,4]	%ctxt3[2:2,5]	%ctxt3[2:2,6]	%ctxt3[2:3,0]	%ctxt3[2:3,1]	%ctxt3[2:3,2]	%ctxt3[2:3,3]	%ctxt3[2:3,4]	%ctxt3[2:3,5]	%ctxt3[2:3,6]	%ctxt3[2:4,0]	%ctxt3[2:4,1]	%ctxt3[2:4,2]	%ctxt3[2:4,3]	%ctxt3[2:4,4]	%ctxt3[2:4,5]	%ctxt3[2:4,6]	%ctxt3[2:5,0]	%ctxt3[2:5,1]	%ctxt3[2:5,2]	%ctxt3[2:5,3]	%ctxt3[2:5,4]	%ctxt3[2:5,5]	%ctxt3[2:5,6]	%ctxt3[2:6,0]	%ctxt3[2:6,1]	%ctxt3[2:6,2]	%ctxt3[2:6,3]	%ctxt3[2:6,4]	%ctxt3[2:6,5]	%ctxt3[2:6,6]
0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0
